Bank,Model,Training_Time_Sec,MAE,RMSE,MAPE,R2
All (pooled),LSTM,2424.6923127174377,1127.7643815226165,2529.5060060461074,3.6266017205052825,0.9905407825769906
Barclays,LSTM,,12.862413960118449,16.892996529707585,3.310844059226583,0.9707234492926529
Goldman Sachs,LSTM,,3380.274866082523,4388.6698313272955,5.665277319348044,0.9054773362859009
Lloyds,LSTM,,1.6287532411325967,2.1888664764132066,1.9140675296246308,0.9874673062179058
