Bank,Model,AIC,Diverged_Steps,Training_Time_Sec,MAE,RMSE,MAPE,R2
Lloyds,ARIMA,6634.024184280707,0,2060.441726922989,0.9711788417155973,1.3648172865046306,1.2212997355809725,0.9951274655563266
Barclays,ARIMA,12599.331426813536,0,77.56239104270935,5.039426068498646,6.871114687358878,1.4682214436014298,0.9951564820094129
Goldman Sachs,ARIMA,13042.557678748723,0,1218.8393669128418,9.872191192430295,14.576094850850502,1.387949972250223,0.9947115903605246
