,Open,Open,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barclays,2880.0,204.4696551396535,77.06676714618736,79.85473344047514,156.65185108723796,182.1637419976114,226.0095036344863,505.741726267603,2880.0,207.1920182997955,77.81486336647424,83.15871663195945,158.64097346398486,184.67029324239587,228.56674413021886,507.4500122070313,2880.0,201.92696540966685,76.331727631739,72.90736932206644,154.68709900097568,179.86631302271564,223.4204849606002,497.94261454236806,2880.0,204.5151695622338,77.06624051259057,80.09429168701172,156.60316467285156,182.4088592529297,226.38378143310547,501.5422058105469,2880.0,49180758.31666667,29012473.01151065,1549882.0,30875287.5,41556710.5,58163964.25,345720341.0
Goldman Sachs,2868.0,304.3517652971387,195.04788251613877,114.51524608777405,173.1897911884275,213.02540126616407,348.3986843187554,1009.27001953125,2868.0,307.7885071203597,197.67832771900308,115.46360298446297,174.80512856027897,215.14460709022302,350.5097718875742,1027.219970703125,2868.0,301.0786127050489,192.7465885716789,112.72742603640177,171.23553122013257,210.9259987451105,343.8046029925253,1004.0,2868.0,304.5383137552642,195.40989670858593,114.05696868896484,172.88763809204102,213.00252532958984,347.24446868896484,1025.56005859375,2868.0,2848131.79916318,1407319.5574534722,460100.0,1953825.0,2510650.0,3309050.0,15194200.0
Lloyds,2881.0,58.71356869992875,16.303127382531567,23.979511963081013,46.37066609141237,57.64264222685982,67.79874483058829,113.42300678009477,2881.0,59.395439106308146,16.34675115778829,24.677754221729035,46.92154244400717,58.27798213433724,68.36670382597477,114.57273471641535,2881.0,58.01891928258825,16.189309446341497,23.52565950327068,45.763532886239446,56.9946423701535,67.03744916760023,112.02334594726562,2881.0,58.69951097884967,16.281308199748246,23.91966438293457,46.28759765625,57.63174819946289,67.70905303955078,112.57321166992188,2881.0,187485474.03019786,97186061.91120963,18116240.0,123062339.0,164442396.0,225150096.0,766905666.0
