,Date,Open,High,Low,Close,Volume
count,8629,8629.0,8629.0,8629.0,8629.0,8629.0
mean,2020-09-12 11:36:13.183451136,189.00304335367835,191.2815750596681,186.83458431696113,189.07554332128834,79957663.30200487
min,2015-01-02 00:00:00,23.979511963081013,24.677754221729035,23.52565950327068,23.91966438293457,460100.0
25%,2017-11-06 00:00:00,67.7588767140099,68.34354746661813,67.02150378338648,67.69573211669922,3317300.0
50%,2020-09-11 00:00:00,162.6736307832888,164.92635522175402,160.76312475285036,162.99114990234375,41436851.0
75%,2023-07-21 00:00:00,221.68770500829373,224.4862931049433,219.23896501585148,221.4892425537109,126489581.0
max,2026-05-29 00:00:00,1009.27001953125,1027.219970703125,1004.0,1025.56005859375,766905666.0
std,,157.74345554689341,159.68436401270137,155.98704041721865,157.9421055749765,97916716.6814938
