Date,Bank,Open,High,Low,Close,Volume
,,LLOY.L,LLOY.L,LLOY.L,LLOY.L,LLOY.L
2015-01-02,Lloyds,76.11351372005572,76.39220720232863,75.31624532740311,75.79500579833984,54277932
2015-01-05,Lloyds,75.71538565801829,76.04384912596093,74.11289035617187,74.27214813232422,102525515
2015-01-06,Lloyds,74.28209387862202,74.70014173189884,72.53030395507812,72.53030395507812,133810250
2015-01-07,Lloyds,72.978191980182,73.59828873371622,72.5302928555775,72.66963958740234,108980419
2015-01-08,Lloyds,73.16731645887745,74.07307031232693,72.90852638910839,73.75456237792969,79367070
2015-01-09,Lloyds,73.49576490060508,73.70479259339237,72.71940236337477,73.39623260498047,98091442
2015-01-12,Lloyds,73.0677701239639,73.95362038372713,72.48848264804555,73.22702026367188,94250771
2015-01-13,Lloyds,72.79903864959836,73.94367915039393,72.67760574341177,73.66498565673828,91855732
2015-01-14,Lloyds,72.97818265917091,73.4260817265683,72.06247351161437,72.56014251708984,120471280
2015-01-15,Lloyds,72.73930479947354,73.83417510986328,71.59466455022796,73.83417510986328,122202372
2015-01-16,Lloyds,73.28673521743701,74.32188766297926,72.92741813372852,74.09296417236328,111260890
2015-01-19,Lloyds,72.90850442407782,74.55081355103042,72.58999658563692,74.3019790649414,76693861
2015-01-20,Lloyds,74.65037162730236,75.59593996371679,74.38163363072862,75.14804077148438,102776867
2015-01-21,Lloyds,75.20774330633563,75.51630327662646,74.32189301779414,75.23760223388672,144256028
2015-01-22,Lloyds,75.48643420030926,75.74522422003788,74.80961161518726,75.29732513427734,134647722
2015-01-23,Lloyds,75.36701128423765,75.94131730652252,74.7698098706005,75.17789459228516,135616839
2015-01-26,Lloyds,74.53093213207275,75.67557274132636,74.09298842647236,75.64571380615234,80665003
2015-01-27,Lloyds,75.80495934164023,75.88458062463435,74.57073453238542,74.77975463867188,111800401
2015-01-28,Lloyds,75.32719305913498,75.53621316371381,73.98348804751248,74.41148376464844,183992062
2015-01-29,Lloyds,73.97352574228215,74.61054150546306,73.49576012298301,74.5110092163086,99582304
2015-01-30,Lloyds,74.87930055870201,75.0385507313361,73.38429599350981,73.40619659423828,111287711
2015-02-02,Lloyds,73.37633855459796,74.13279776684502,72.58006490025072,73.32656860351562,137679310
2015-02-03,Lloyds,73.52563578219379,74.81957088967047,73.41614797236828,74.6205062866211,114107640
2015-02-04,Lloyds,74.67027914381622,75.06841599974597,73.66499288503402,74.20247650146484,108405593
2015-02-05,Lloyds,73.65502832967066,75.28240844673995,73.39524347455925,75.17789459228516,129225243
2015-02-06,Lloyds,74.93900863002092,75.67555671907515,74.83947633590451,75.45658111572266,97644894
2015-02-09,Lloyds,74.90913570727817,75.2117192924216,74.11286231544533,74.57071685791016,76965688
2015-02-10,Lloyds,74.42142223967569,75.14802235338284,74.22235766832321,74.66030883789062,97003461
2015-02-11,Lloyds,74.29203980172225,74.53391080236935,73.46590730477091,74.04320526123047,116919732
2015-02-12,Lloyds,74.04317813056163,75.14800369302466,73.82420260015277,74.08299255371094,171262869
