Date,Bank,Open,High,Low,Close,Volume,GBPUSD,Open_GBX,High_GBX,Low_GBX,Close_GBX
2015-01-02,Lloyds,76.10323970891521,76.38189557237641,75.30607893374007,75.78477478027344,54277932,1.5579720735549927,76.10323970891521,76.38189557237641,75.30607893374007,75.78477478027344
2015-01-05,Lloyds,75.70515027458107,76.03356934006165,74.10287160180852,74.2621078491211,102525515,1.5284910202026367,75.70515027458107,76.03356934006165,74.10287160180852,74.2621078491211
2015-01-06,Lloyds,74.2720689481366,74.69006038269325,72.52051544189453,72.52051544189453,133810250,1.5258322954177856,74.2720689481366,74.69006038269325,72.52051544189453,72.52051544189453
2015-01-07,Lloyds,72.9683312582071,73.58834422504397,72.52049265317181,72.65982055664062,108980419,1.5137982368469238,72.9683312582071,73.58834422504397,72.52049265317181,72.65982055664062
2015-01-08,Lloyds,73.15742423588785,74.06305563139401,72.8986691545426,73.74459075927734,79367070,1.5107566118240356,73.15742423588785,74.06305563139401,72.8986691545426,73.74459075927734
2015-01-09,Lloyds,73.485840877412,73.69484034550261,72.70958317125373,73.38632202148438,98091442,1.5087963342666626,73.485840877412,73.69484034550261,72.70958317125373,73.38632202148438
2015-01-12,Lloyds,73.05790393187321,73.94363457708121,72.47869467596217,73.21713256835938,94250771,1.5189489126205444,73.05790393187321,73.94363457708121,72.47869467596217,73.21713256835938
2015-01-13,Lloyds,72.78922194791456,73.93370809784864,72.66780541654056,73.6550521850586,91855732,1.5170363187789917,72.78922194791456,73.93370809784864,72.66780541654056,73.6550521850586
2015-01-14,Lloyds,72.968368444907,73.41620727817336,72.05278244327504,72.55038452148438,120471280,1.5170363187789917,72.968368444907,73.41620727817336,72.05278244327504,72.55038452148438
2015-01-15,Lloyds,72.72951111274237,73.82423400878906,71.58502497891008,73.82423400878906,122202372,1.5234380960464478,72.72951111274237,73.82423400878906,71.58502497891008,73.82423400878906
2015-01-16,Lloyds,73.27686455674136,74.31187758225721,72.91759586783454,74.0829849243164,111260890,1.5181187391281128,73.27686455674136,74.31187758225721,72.91759586783454,74.0829849243164
2015-01-19,Lloyds,72.89865243841679,74.54073964330284,72.58018763932614,74.29193878173828,76693861,1.5142109394073486,72.89865243841679,74.54073964330284,72.58018763932614,74.29193878173828
2015-01-20,Lloyds,74.64028415300987,75.5857247151604,74.37158247089208,75.13788604736328,102776867,1.5090012550354004,74.64028415300987,75.5857247151604,74.37158247089208,75.13788604736328
2015-01-21,Lloyds,75.19760023860297,75.50611859423366,74.311869422327,75.22745513916016,144256028,1.5147384405136108,75.19760023860297,75.50611859423366,74.311869422327,75.22745513916016
2015-01-22,Lloyds,75.47625397262094,75.7350090914915,74.79952266493302,75.28717041015625,134647722,1.5144860744476318,75.47625397262094,75.7350090914915,74.79952266493302,75.28717041015625
2015-01-23,Lloyds,75.35684631217717,75.93107487610764,74.75972544486369,75.16775512695312,135616839,1.5013211965560913,75.35684631217717,75.93107487610764,74.75972544486369,75.16775512695312
2015-01-26,Lloyds,74.52082933639069,75.66531478764648,74.08294499481072,75.63545989990234,80665003,1.4995876550674438,74.52082933639069,75.66531478764648,74.08294499481072,75.63545989990234
2015-01-27,Lloyds,75.79473500566401,75.87434554958836,74.56067666479372,74.76966857910156,111800401,1.5085458755493164,75.79473500566401,75.87434554958836,74.56067666479372,74.76966857910156
2015-01-28,Lloyds,75.31702921999421,75.5260211216541,73.97350551343614,74.40144348144531,183992062,1.5188103914260864,75.31702921999421,75.5260211216541,73.97350551343614,74.40144348144531
2015-01-29,Lloyds,73.96352001263372,74.60044961245492,73.48581901636796,74.50093078613281,99582304,1.5142338275909424,73.96352001263372,74.60044961245492,73.48581901636796,74.50093078613281
2015-01-30,Lloyds,74.8691755261809,75.02840416531821,73.37437311258104,73.39627075195312,111287711,1.5079090595245361,74.8691755261809,75.02840416531821,73.37437311258104,73.39627075195312
2015-02-02,Lloyds,73.36644414807394,74.122801355845,72.57027786696712,73.31668090820312,137679310,1.5087052583694458,73.36644414807394,74.122801355845,72.57027786696712,73.31668090820312
2015-02-03,Lloyds,73.51570522793683,74.80946557333696,73.40623220580576,74.61042785644531,114107640,1.5028102397918701,73.51570522793683,74.80946557333696,73.40623220580576,74.61042785644531
2015-02-04,Lloyds,74.66017556257731,75.05825854689824,73.65502532834867,74.19243621826172,108405593,1.5142109394073486,74.66017556257731,75.05825854689824,73.65502532834867,74.19243621826172
2015-02-05,Lloyds,73.64509425782242,75.27225488531478,73.38534444066394,75.16775512695312,129225243,1.5180034637451172,73.64509425782242,75.27225488531478,73.38534444066394,75.16775512695312
2015-02-06,Lloyds,74.9289084051525,75.66535722279303,74.829389525926,75.4464111328125,97644894,1.5325905084609985,74.9289084051525,75.66535722279303,74.829389525926,75.4464111328125
2015-02-09,Lloyds,74.89904985898954,75.20159270394682,74.10288367828056,74.56067657470703,76965688,1.523902416229248,74.89904985898954,75.20159270394682,74.10288367828056,74.56067657470703
2015-02-10,Lloyds,74.4113912668804,75.13789344499651,74.21235352666389,74.6502456665039,97003461,1.5216069221496582,74.4113912668804,75.13789344499651,74.21235352666389,74.6502456665039
2015-02-11,Lloyds,74.28200405164479,74.52384237911559,73.45598315291167,74.033203125,116919732,1.526205062866211,74.28200405164479,74.52384237911559,73.45598315291167,74.033203125
2015-02-12,Lloyds,74.03321949625062,75.13789646225909,73.81427341753854,74.07302856445312,171262869,1.5242739915847778,74.03321949625062,75.13789646225909,73.81427341753854,74.07302856445312
2015-02-13,Lloyds,73.88392490520884,75.77481356492319,73.83416927296501,74.98860168457031,149400768,1.5391956567764282,73.88392490520884,75.77481356492319,73.83416927296501,74.98860168457031
2015-02-16,Lloyds,74.8990437479418,78.47182191874094,74.85923468287406,75.36679077148438,68182943,1.5400489568710327,74.8990437479418,78.47182191874094,74.85923468287406,75.36679077148438
2015-02-17,Lloyds,74.89905292152994,76.77003365205395,74.89905292152994,76.66056060791016,131302008,1.5356265306472778,74.89905292152994,76.77003365205395,74.89905292152994,76.66056060791016
2015-02-18,Lloyds,76.97902132865748,77.51643235404724,76.48141937101548,76.9193115234375,115917224,1.5353436470031738,76.97902132865748,77.51643235404724,76.48141937101548,76.9193115234375
2015-02-19,Lloyds,76.92926021784508,77.45671704058763,76.43165829558943,76.8595962524414,97685401,1.543900728225708,76.92926021784508,77.45671704058763,76.43165829558943,76.8595962524414
2015-02-20,Lloyds,76.80982910609386,77.99412405036479,76.68244466053791,77.60599517822266,163816073,1.5419963598251343,76.80982910609386,77.99412405036479,76.68244466053791,77.60599517822266
2015-02-23,Lloyds,77.87469527557785,79.11869999244011,77.72541319099393,78.64099884033203,157129418,1.5389113426208496,77.87469527557785,79.11869999244011,77.72541319099393,78.64099884033203
2015-02-24,Lloyds,78.94952057516277,79.22817642889888,78.38225470354212,78.83009338378906,190128527,1.5452368259429932,78.94952057516277,79.22817642889888,78.38225470354212,78.83009338378906
2015-02-25,Lloyds,78.83009993186167,79.1386107108672,78.52158915285614,78.85995483398438,132596556,1.545905590057373,78.83009993186167,79.1386107108672,78.52158915285614,78.85995483398438
2015-02-26,Lloyds,78.86989214465876,79.62624907228283,78.12348937988281,78.12348937988281,212277882,1.552891492843628,78.86989214465876,79.62624907228283,78.12348937988281,78.12348937988281
2015-02-27,Lloyds,79.61630519432359,79.70586989312197,78.3225371977948,78.62110137939453,261336205,1.5418059825897217,79.61630519432359,79.70586989312197,78.3225371977948,78.62110137939453
2015-03-02,Lloyds,78.37231813517334,79.61234455550638,77.95930754751497,79.60636901855469,203143672,1.5406184196472168,78.37231813517334,79.61234455550638,77.95930754751497,79.60636901855469
2015-03-03,Lloyds,79.61630216396668,80.06414082651808,78.95946402656887,79.05899047851562,156582737,1.5359095335006714,79.61630216396668,80.06414082651808,78.95946402656887,79.05899047851562
2015-03-04,Lloyds,78.91967255548938,79.4869384765625,78.52158947567594,79.4869384765625,134809615,1.5366648435592651,78.91967255548938,79.4869384765625,78.52158947567594,79.4869384765625
2015-03-05,Lloyds,79.61632460386345,80.79066569548262,79.29388097965764,80.55181884765625,177584135,1.52650785446167,79.61632460386345,80.79066569548262,79.29388097965764,80.55181884765625
2015-03-06,Lloyds,80.73092562780388,81.42756516990019,80.41942335146554,81.03943634033203,179462230,1.5247621536254883,80.73092562780388,81.42756516990019,80.41942335146554,81.03943634033203
2015-03-09,Lloyds,80.99962433907189,81.10909734782435,79.80836696896516,79.9845199584961,129158789,1.5057746171951294,80.99962433907189,81.10909734782435,79.80836696896516,79.9845199584961
2015-03-10,Lloyds,80.08405094396855,80.15371490620697,78.23297126985909,78.37229919433594,145200911,1.5104827880859375,80.08405094396855,80.15371490620697,78.23297126985909,78.37229919433594
2015-03-11,Lloyds,78.68080299849635,79.06893183854243,77.48656158186255,77.78512573242188,143166702,1.508204698562622,78.68080299849635,79.06893183854243,77.48656158186255,77.78512573242188
2015-03-12,Lloyds,77.76521591036979,79.62624954841459,77.65076961173757,78.82012939453125,191558975,1.4932951927185059,77.76521591036979,79.62624954841459,77.65076961173757,78.82012939453125
2015-03-13,Lloyds,79.15851235059253,79.30779444139239,78.27278156272988,78.62110137939453,125446888,1.4894028902053833,79.15851235059253,79.30779444139239,78.27278156272988,78.62110137939453
2015-03-16,Lloyds,79.01918461470636,79.23813066936778,78.4419645783813,78.96942138671875,149987027,1.4755791425704956,79.01918461470636,79.23813066936778,78.4419645783813,78.96942138671875
2015-03-17,Lloyds,79.11868936678809,79.536673073246,78.62108754687118,79.0788803100586,138974548,1.4825797080993652,79.11868936678809,79.536673073246,78.62108754687118,79.0788803100586
