,Date,Open,High,Low,Close,Volume,GBPUSD,Open_GBX,High_GBX,Low_GBX,Close_GBX
count,8810,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0
mean,2020-10-26 05:19:03.337116672,195.99094387150242,198.35101080577562,193.69499839393688,196.03642573058943,79621339.12077186,1.3217523384987293,8141.568868518702,8233.817179869706,8050.537358940769,8143.971969980374
min,2015-01-02 00:00:00,23.97628101058496,24.67442640343049,23.522487046025308,23.916439056396484,460100.0,1.072754144668579,23.97628101058496,24.67442640343049,23.522487046025308,23.916439056396484
25%,2017-11-27 00:00:00,68.51643766957139,69.15860329698145,67.71760007968709,68.44112968444824,3295975.0,1.2627378702163696,68.51643766957139,69.15860329698145,67.71760007968709,68.44112968444824
50%,2020-10-23 00:00:00,163.0836009836824,165.20643192897762,161.22670750468063,163.4683837890625,41316336.5,1.3085750341415405,182.82786823457207,185.43808522679876,181.01470288745787,183.21202850341797
75%,2023-09-25 18:00:00,225.9879738589163,228.66589005134065,223.3911038653986,226.35079956054688,126162168.0,1.356516182422638,13565.565820532203,13766.44719901453,13398.436073212102,13561.361794553537
max,2026-08-24 00:00:00,1148.4200439453125,1153.989990234375,1117.4000244140625,1152.0699462890625,766905666.0,1.5885119438171387,85721.51732845834,86137.27482925582,83406.09001090466,85993.95698906553
std,,172.8893399496655,174.98850620053076,170.74524137051287,172.91872581256442,97431196.8594677,0.0883907675916231,14818.958893143481,14996.544100448178,14639.117886836795,14821.463185463957
