Date,Open,High,Low,Close,Volume,GBPUSD,Open_GBX,High_GBX,Low_GBX,Close_GBX
2015-01-02,241.40728411427705,244.79616514846484,240.7594176270009,242.3541717529297,20219711,1.5579720735549927,241.40728411427705,244.79616514846484,240.7594176270009,242.3541717529297
2015-01-05,241.5069392569744,242.35414802594215,233.4334450044589,233.9318084716797,39050852,1.5284910202026367,241.5069392569744,242.35414802594215,233.4334450044589,233.9318084716797
2015-01-06,233.28394067104827,235.078052184224,229.49637530075407,229.59605407714844,37573308,1.5258322954177856,233.28394067104827,235.078052184224,229.49637530075407,229.59605407714844
2015-01-07,231.3403204582568,232.69586965579464,229.3966908287473,229.84523010253903,37219841,1.5137982368469238,231.3403204582568,232.69586965579464,229.3966908287473,229.84523010253903
2015-01-08,233.5331552243236,237.56990289408867,230.7921557855612,236.27415466308597,41082776,1.5107566118240356,233.5331552243236,237.56990289408867,230.7921557855612,236.27415466308597
2015-01-09,234.6295039785433,234.6295039785433,227.5527521801429,230.2439117431641,46867721,1.5087963342666626,234.6295039785433,234.6295039785433,227.5527521801429,230.2439117431641
2015-01-12,230.59279971797284,233.00785818981032,227.45310051292185,230.6426239013672,34490093,1.5189489126205444,230.59279971797284,233.00785818981032,227.45310051292185,230.6426239013672
2015-01-13,229.496366770994,234.13114073299383,228.8983245525477,232.23736572265625,25844745,1.5170363187789917,229.496366770994,234.13114073299383,228.8983245525477,232.23736572265625
2015-01-14,230.24389482923297,232.0569411535025,222.1704015244105,222.8182830810547,60864512,1.5170363187789917,230.24389482923297,232.0569411535025,222.1704015244105,222.8182830810547
2015-01-15,226.75536388781768,228.499635917724,218.82541120330612,227.20388793945312,56132853,1.5234380960464478,226.75536388781768,228.499635917724,218.82541120330612,227.20388793945312
2015-01-16,226.0576700678636,226.3995497155427,222.61896521174907,223.61569213867188,43987461,1.5181187391281128,226.0576700678636,226.3995497155427,222.61896521174907,223.61569213867188
2015-01-19,223.41636353873284,229.5462440589868,222.31997290234403,229.24722290039065,55228983,1.5142109394073486,223.41636353873284,229.5462440589868,222.31997290234403,229.24722290039065
2015-01-20,230.6426062107712,237.00372126891884,229.89506101102728,234.48001098632807,50977535,1.5090012550354004,230.6426062107712,237.00372126891884,229.89506101102728,234.48001098632807
2015-01-21,234.4800024392256,237.2210014050401,233.4832755425657,237.12132263183597,28672971,1.5147384405136108,234.4800024392256,237.2210014050401,233.4832755425657,237.12132263183597
2015-01-22,237.71942142356608,242.6322903180153,235.92530954086368,242.60337829589844,65363101,1.5144860744476318,237.71942142356608,242.6322903180153,235.92530954086368,242.60337829589844
2015-01-23,243.40073817832368,245.36131071400064,240.28497762816107,242.3541717529297,43954371,1.5013211965560913,243.40073817832368,245.36131071400064,240.28497762816107,242.3541717529297
2015-01-26,239.56333616483272,240.958747855847,238.41709101042755,239.96202087402344,30093855,1.4995876550674438,239.56333616483272,240.958747855847,238.41709101042755,239.96202087402344
2015-01-27,240.11146471526948,240.7095068406468,236.92194220055748,238.6662139892578,24688504,1.5085458755493164,240.11146471526948,240.7095068406468,236.92194220055748,238.6662139892578
2015-01-28,240.95873927874408,242.2046479616745,234.43017473841945,236.0747833251953,29917309,1.5188103914260864,240.95873927874408,242.2046479616745,234.43017473841945,236.0747833251953
2015-01-29,234.13114828657424,236.8223231475603,232.93507901993928,235.7757568359375,27623329,1.5142338275909424,234.13114828657424,236.8223231475603,232.93507901993928,235.7757568359375
2015-01-30,236.97179802302392,238.5665669954652,233.38357543945312,233.38357543945312,30434587,1.5079090595245361,236.97179802302392,238.5665669954652,233.38357543945312,233.38357543945312
2015-02-02,235.77578511210731,237.17119688905643,232.48658282775855,235.0780792236328,37110013,1.5087052583694458,235.77578511210731,237.17119688905643,232.48658282775855,235.0780792236328
2015-02-03,239.164675348462,248.0355560623236,238.0184452155034,247.6368560791016,66603907,1.5028102397918701,239.164675348462,248.0355560623236,238.0184452155034,247.6368560791016
2015-02-04,247.935791015625,249.18169951319095,244.24790490459856,247.935791015625,45978031,1.5142109394073486,247.935791015625,249.18169951319095,244.24790490459856,247.935791015625
2015-02-05,245.24465775248785,248.03549612524665,243.3010433316034,247.98565673828125,26413977,1.5180034637451172,245.24465775248785,248.03549612524665,243.3010433316034,247.98565673828125
2015-02-06,247.23814802577337,256.7568944039559,246.1417421862076,254.61392211914065,50807751,1.5325905084609985,247.23814802577337,256.7568944039559,246.1417421862076,254.61392211914065
2015-02-09,252.570611954883,254.28498358605836,248.58370401426072,252.81979370117188,31406863,1.523902416229248,252.570611954883,254.28498358605836,248.58370401426072,252.81979370117188
2015-02-10,252.47092511075724,253.6032084432485,247.58695420835548,252.37124633789065,52510700,1.5216069221496582,252.47092511075724,253.6032084432485,247.58695420835548,252.37124633789065
