Date,Close,High,Low,Open,Volume,Bank
,BARC.L,BARC.L,BARC.L,BARC.L,BARC.L,
2015-01-02,242.38796997070312,244.83030392164935,240.7929934436213,241.44095028103447,20219711,Barclays
2015-01-05,233.9645538330078,242.38807233148373,233.46612060574915,241.54074497172903,39050852,Barclays
2015-01-06,229.62814331054688,235.11090760290142,229.52845060266088,233.31654533775472,37573308,Barclays
2015-01-07,229.87738037109375,232.72841866582917,229.42877835656944,231.3726798569136,37219841,Barclays
2015-01-08,236.3072052001953,237.60313468324847,230.8244394888728,233.56582234453407,41082776,Barclays
2015-01-09,230.2761688232422,234.66237547834208,227.58463222984108,234.66237547834208,46867721,Barclays
2015-01-12,230.67486572265625,233.0404306501632,227.48489646674136,230.6250345742769,34490093,Barclays
2015-01-13,232.26986694335938,234.16390698425906,228.93035848017047,229.52848439359872,25844745,Barclays
2015-01-14,222.84947204589844,232.08942329850112,222.20149980210405,230.2761231932703,60864512,Barclays
2015-01-15,227.23568725585938,228.53161658622025,218.85603787326187,226.78710042907355,56132853,Barclays
2015-01-16,223.64691162109375,226.43115785849128,222.65004553891544,226.08923048023678,43987461,Barclays
2015-01-19,229.27926635742188,229.57832931225673,222.3510480901206,223.44759197655011,55228983,Barclays
2015-01-20,234.51284790039062,237.0369116069569,229.92725584217754,230.67490572921386,50977535,Barclays
2015-01-21,237.1544952392578,237.25418795724255,233.51593919741205,234.51280553336687,28672971,Barclays
2015-01-22,242.63726806640625,242.66618412730364,235.9582664380573,237.75262894398017,65363101,Barclays
2015-01-23,242.38796997070312,245.39552830123137,240.3184872803483,243.43468234811314,43954371,Barclays
2015-01-26,239.99554443359375,240.99241066177066,238.4503987377252,239.59680402671157,30093855,Barclays
2015-01-27,238.69961547851562,240.74319429004572,236.9550995778631,240.14506846829053,24688504,Barclays
2015-01-28,236.1077880859375,242.2385097165982,234.46294957238945,240.99242684768566,29917309,Barclays
2015-01-29,235.80874633789062,236.85545908399783,232.9676710571674,234.1639076765868,27623329,Barclays
2015-01-30,233.41622924804688,238.59994598111518,233.41622924804688,237.00495387694463,30434587,Barclays
2015-02-02,235.1108856201172,237.2042953912456,232.5190275671351,235.80868887716,37110013,Barclays
2015-02-03,247.67144775390625,248.07020343037354,238.0516933223675,239.19808356889175,66603907,Barclays
2015-02-04,247.97048950195312,249.21657236377197,244.2820872731638,247.97048950195312,45978031,Barclays
2015-02-05,248.02035522460938,248.07020158516875,243.3350863405286,245.27897271455456,26413977,Barclays
2015-02-06,254.64952087402344,256.79279277774583,246.17615640626906,247.27271553942697,50807751,Barclays
2015-02-09,252.85516357421875,254.32055844139498,248.61848125192785,252.60594696702518,31406863,Barclays
2015-02-10,252.4065704345703,253.63870497616705,247.62160865347946,252.50626315935367,52510700,Barclays
2015-02-11,250.2134246826172,253.65261014701662,248.31938492279477,252.20715715020776,34724177,Barclays
2015-02-12,252.55609130859375,255.89559960534172,250.26329570269016,250.81157522751084,41779731,Barclays
2015-02-13,255.64637756347656,259.43445737559074,253.80216880417933,254.89871261943293,41448524,Barclays
2015-02-16,257.98907470703125,258.3509438691162,253.50319003029205,253.50319003029205,18762501,Barclays
2015-02-17,256.742919921875,257.29121467533395,253.42435702814515,255.7959151290867,26978599,Barclays
2015-02-18,259.5341796875,262.88165884440065,257.3909229593425,259.48431811310854,47455508,Barclays
2015-02-19,259.5839538574219,261.48499061043077,256.6432168040268,258.288039958901,36082492,Barclays
2015-02-20,260.6805114746094,263.38800348288044,257.1416486310158,258.28803867739526,39275392,Barclays
2015-02-23,262.0262145996094,263.4218208109096,259.5340497858827,263.1726043295369,39601203,Barclays
2015-02-24,263.1726989746094,263.87051754218356,260.28179283541357,261.9764472650378,26668647,Barclays
2015-02-25,262.0760803222656,269.09302195831333,261.6773399838207,262.12594187828233,25320216,Barclays
2015-02-26,261.27862548828125,264.1197001163592,259.6836335548041,262.3751843439181,23202372,Barclays
2015-02-27,256.0950012207031,262.87371176532855,255.1978274429892,260.18216001023507,41803803,Barclays
2015-03-02,261.9266662597656,263.1727493532945,253.41242933323824,254.2009510798867,44514567,Barclays
2015-03-03,253.50311279296875,262.23964171277976,252.60592396219414,256.69308203234107,66495839,Barclays
2015-03-04,261.5777587890625,261.5777587890625,252.1075272101837,254.2507992730415,48202782,Barclays
2015-03-05,265.1664123535156,265.1664123535156,261.1898994053945,261.3783329172424,59603687,Barclays
2015-03-06,264.1695556640625,267.32963505520854,263.62129139655605,265.1664219118514,36330501,Barclays
2015-03-09,261.87677001953125,264.02002632333875,259.2350501802468,262.9234673891754,40265273,Barclays
2015-03-10,253.536865234375,260.16691814343756,253.536865234375,258.6215513373194,41894665,Barclays
2015-03-11,254.23477172851562,263.18880827507627,249.74827575683594,251.39331819458556,39519142,Barclays
2015-03-12,253.73629760742188,257.07625102851546,251.24379959556114,254.234797209794,35839890,Barclays
2015-03-13,249.24978637695312,255.6305748230033,247.4053318725638,255.23178125,38870903,Barclays
2015-03-16,251.09423828125,255.94861514346852,250.64557650001768,250.84498849745404,29822569,Barclays
2015-03-17,249.24978637695312,253.93567931823992,238.06645170824788,251.99153402709962,35199431,Barclays
2015-03-18,251.59274291992188,252.53988907483722,249.4491856082716,250.54589076427868,37933134,Barclays
2015-03-19,252.04139709472656,253.9606235690922,251.34350070759365,252.44019068365955,44500418,Barclays
2015-03-20,254.53390502929688,254.53390502929688,250.3465113294602,252.29065677442,61802208,Barclays
2015-03-23,256.3782653808594,257.1758827699288,245.79811336214226,255.08217895936102,27104068,Barclays
2015-03-24,257.6744689941406,259.12009965474886,256.0792641048465,256.4282199284425,36456067,Barclays
2015-03-25,251.14407348632812,259.2197724835143,249.89184587141563,257.674436010262,41860488,Barclays
