,Open,Open,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barclays,2941.0,210.62713661392033,87.34782620532117,79.84579074488656,156.98511286249857,183.2066976724637,228.8940965403681,531.04055818647,2941.0,213.4296331687511,88.25891253138391,83.14942495079168,158.92253183408025,185.56770424326407,232.0569411535025,538.2397779963508,2941.0,207.993659908368,86.42119464352672,72.8992042041508,155.00904079533504,181.38020781455887,226.3396798167672,528.7328458768465,2941.0,210.68756084837747,87.39826672098766,80.08534240722656,156.94723510742188,183.52301025390625,229.24722290039065,530.3406982421875,2941.0,49003746.35600136,28834982.10299947,1549882.0,30777856.0,41425146.0,58069934.0,345720341.0
Goldman Sachs,2927.0,318.2075118843248,219.52480585533687,114.01276409593191,172.87606184784232,215.0936370802505,355.28150391057284,1148.4200439453125,2927.0,321.800657328188,222.3742409282963,114.9569596928926,174.98324210264553,217.46294764078604,358.74880091742733,1153.989990234375,2927.0,314.65222962115007,216.53819454735293,112.23279448316,171.01567431351504,212.7152731854956,351.51494825878865,1117.4000244140625,2927.0,318.2959005279593,219.51461485408896,113.55650329589844,173.18817138671875,214.84393310546875,355.0343780517578,1152.0699462890625,2927.0,2833545.085753331,1400091.2801124596,460100.0,1941400.0,2503700.0,3280750.0,15194200.0
Lloyds,2942.0,59.76628804927881,17.720424664641907,23.97628101058496,46.478786773516724,57.93806708111666,68.61509286807322,117.33416426517692,2942.0,60.4572841774235,17.785092757720186,24.67442640343049,47.05091640672338,58.50674579959367,69.19860350082539,117.88409399406272,2942.0,59.06067503703853,17.586459677321272,23.522487046025308,45.974439925086614,57.310902003896345,67.75880870280112,115.8843629671686,2942.0,59.75414459078106,17.7060673179215,23.916439056396484,46.415536880493164,57.85811805725098,68.49115371704102,117.08419799804688,2942.0,186624810.7256968,96647979.83896846,18116240.0,122785330.5,163907129.5,224090379.75,766905666.0
