Date,Open,High,Low,Close,Volume,GBPUSD,Open_GBX,High_GBX,Low_GBX,Close_GBX
2015-01-02,76.10323970891521,76.38189557237641,75.30607893374007,75.78477478027344,54277932,1.5579720735549927,76.10323970891521,76.38189557237641,75.30607893374007,75.78477478027344
2015-01-05,75.70515027458107,76.03356934006165,74.10287160180852,74.2621078491211,102525515,1.5284910202026367,75.70515027458107,76.03356934006165,74.10287160180852,74.2621078491211
2015-01-06,74.2720689481366,74.69006038269325,72.52051544189453,72.52051544189453,133810250,1.5258322954177856,74.2720689481366,74.69006038269325,72.52051544189453,72.52051544189453
2015-01-07,72.9683312582071,73.58834422504397,72.52049265317181,72.65982055664062,108980419,1.5137982368469238,72.9683312582071,73.58834422504397,72.52049265317181,72.65982055664062
2015-01-08,73.15742423588785,74.06305563139401,72.8986691545426,73.74459075927734,79367070,1.5107566118240356,73.15742423588785,74.06305563139401,72.8986691545426,73.74459075927734
2015-01-09,73.485840877412,73.69484034550261,72.70958317125373,73.38632202148438,98091442,1.5087963342666626,73.485840877412,73.69484034550261,72.70958317125373,73.38632202148438
2015-01-12,73.05790393187321,73.94363457708121,72.47869467596217,73.21713256835938,94250771,1.5189489126205444,73.05790393187321,73.94363457708121,72.47869467596217,73.21713256835938
2015-01-13,72.78922194791456,73.93370809784864,72.66780541654056,73.6550521850586,91855732,1.5170363187789917,72.78922194791456,73.93370809784864,72.66780541654056,73.6550521850586
2015-01-14,72.968368444907,73.41620727817336,72.05278244327504,72.55038452148438,120471280,1.5170363187789917,72.968368444907,73.41620727817336,72.05278244327504,72.55038452148438
2015-01-15,72.72951111274237,73.82423400878906,71.58502497891008,73.82423400878906,122202372,1.5234380960464478,72.72951111274237,73.82423400878906,71.58502497891008,73.82423400878906
2015-01-16,73.27686455674136,74.31187758225721,72.91759586783454,74.0829849243164,111260890,1.5181187391281128,73.27686455674136,74.31187758225721,72.91759586783454,74.0829849243164
2015-01-19,72.89865243841679,74.54073964330284,72.58018763932614,74.29193878173828,76693861,1.5142109394073486,72.89865243841679,74.54073964330284,72.58018763932614,74.29193878173828
2015-01-20,74.64028415300987,75.5857247151604,74.37158247089208,75.13788604736328,102776867,1.5090012550354004,74.64028415300987,75.5857247151604,74.37158247089208,75.13788604736328
2015-01-21,75.19760023860297,75.50611859423366,74.311869422327,75.22745513916016,144256028,1.5147384405136108,75.19760023860297,75.50611859423366,74.311869422327,75.22745513916016
