Date,Close,High,Low,Open,Volume,Bank
,GS,GS,GS,GS,GS,
2015-01-02,155.55519104003906,156.6113692923996,154.18694652563806,156.26731501758346,1877700,Goldman Sachs
2015-01-05,150.6983642578125,155.25915980351047,150.01024337132702,154.47502602422105,3413200,Goldman Sachs
2015-01-06,147.64984130859375,150.95442359648678,147.16975239863703,150.66637269234636,3429200,Goldman Sachs
2015-01-07,149.85018920898438,150.41829387102055,148.64198243822,149.50613493600122,1896800,Goldman Sachs
2015-01-08,152.2425537109375,152.6826328998175,151.42640796148373,151.50642679915663,1962500,Goldman Sachs
2015-01-09,149.90614318847656,153.07468883433094,149.59408926563998,152.41057157103052,1980700,Goldman Sachs
2015-01-12,148.08184814453125,150.0501848099616,147.3137087227201,149.91416253707916,2084200,Goldman Sachs
2015-01-13,147.9698944091797,151.53052741882024,146.72167787770343,149.29013282452445,2745300,Goldman Sachs
2015-01-14,144.20921325683594,146.0335312837087,142.50492354254223,144.96934373317188,5204700,Goldman Sachs
2015-01-15,142.8169403076172,145.30537527795641,142.02479760455228,144.16916615305658,3146000,Goldman Sachs
2015-01-16,141.8087158203125,144.10512441716136,139.27227514814797,141.40864608257377,5124100,Goldman Sachs
2015-01-20,140.52857971191406,142.68895507952934,139.4083764852187,142.08085312846595,3606600,Goldman Sachs
2015-01-21,141.74472045898438,142.73689792470222,138.28012685230559,139.66436489489084,3737000,Goldman Sachs
2015-01-22,145.65740966796875,146.09748889661714,141.82474629663795,143.07296213850498,6228200,Goldman Sachs
2015-01-23,144.41722106933594,146.4095611391125,144.36120542907625,145.1693421432062,3123800,Goldman Sachs
2015-01-26,144.36122131347656,144.8173068600732,142.47289089629146,143.00098609471985,2736500,Goldman Sachs
2015-01-27,141.21670532226562,142.93700134512602,141.0646767770593,141.8168102896588,3335600,Goldman Sachs
2015-01-28,138.4641571044922,142.40084238276347,138.40014447283397,142.20880448778888,3017300,Goldman Sachs
2015-01-29,140.81661987304688,141.0646612788514,138.4802129217877,138.56821658653664,2421400,Goldman Sachs
2015-01-30,137.95205688476562,140.57651352053196,137.88004725852352,139.3282978290285,3037400,Goldman Sachs
2015-02-02,140.41653442382812,140.50455028801744,137.8320741431613,138.41618497331058,2975300,Goldman Sachs
2015-02-03,144.21722412109375,144.409249888753,140.75261678930113,140.8326234561037,3766900,Goldman Sachs
2015-02-04,143.04904174804688,144.59331844281985,142.84900672913426,143.00103529697483,2980500,Goldman Sachs
2015-02-05,144.64129638671875,145.30541398371872,143.40907407593986,143.57710883074287,2434400,Goldman Sachs
2015-02-06,146.76966857910156,147.72183709519712,144.93735342305098,145.66548372467312,3250900,Goldman Sachs
2015-02-09,145.80148315429688,146.385581821065,144.94532766196923,145.3774100142805,2421900,Goldman Sachs
2015-02-10,147.6737823486328,147.86582027358313,145.9054804335554,146.70562014043716,2556300,Goldman Sachs
2015-02-11,150.14625549316406,150.5783378997271,147.025714597616,147.28176523990027,4079600,Goldman Sachs
2015-02-12,151.85052490234375,152.02655662885766,149.94618833869188,150.6263120283287,3086700,Goldman Sachs
2015-02-13,151.22640991210938,153.09073695972336,150.69831475682025,151.92252757461378,2720400,Goldman Sachs
2015-02-17,152.0425567626953,152.5306424922992,150.67431243571937,151.0503790901271,2123300,Goldman Sachs
2015-02-18,150.96234130859375,152.05852868591472,150.28222995407998,151.65845887414363,1850700,Goldman Sachs
2015-02-19,151.3144073486328,151.9065150757306,149.84215334570868,150.170201318148,1470400,Goldman Sachs
2015-02-20,153.23475646972656,153.33877854235493,149.66614008374697,150.7063241825403,2317100,Goldman Sachs
2015-02-23,152.2745819091797,152.61864832342133,151.4424420065691,152.61864832342133,1691100,Goldman Sachs
2015-02-24,153.80287170410156,154.65101792965416,151.77050979649033,152.0505636071906,2627300,Goldman Sachs
2015-02-25,153.40281677246094,153.98691545868743,152.3946449320907,153.26679445973232,2775700,Goldman Sachs
2015-02-26,154.26966857910156,154.48638798747234,152.5038371250472,152.91318512086391,2449300,Goldman Sachs
2015-02-27,152.33522033691406,154.51041125569492,152.33522033691406,153.4589397672675,2572400,Goldman Sachs
2015-03-02,153.94058227539062,154.0449309278719,152.32725657757365,152.50384095215992,1659400,Goldman Sachs
2015-03-03,153.52316284179688,154.8073979519213,152.9613092156493,153.06564558711852,1487800,Goldman Sachs
2015-03-04,152.2388916015625,153.1619480723836,151.68506016856753,152.78470092954615,1648500,Goldman Sachs
2015-03-05,152.56808471679688,153.08178147688722,151.7574106532549,152.60821976395172,1330100,Goldman Sachs
2015-03-06,150.0236053466797,153.627502996535,149.7587288633678,150.56138041977079,4103600,Goldman Sachs
2015-03-09,150.84228515625,151.5325659116215,149.7506909126285,150.3366230575111,2233700,Goldman Sachs
2015-03-10,146.6525115966797,149.40560131359533,146.6525115966797,148.96414038664983,2768500,Goldman Sachs
2015-03-11,147.8323516845703,149.16475615266376,146.8932508719956,147.1260266723503,2098600,Goldman Sachs
2015-03-12,152.46371459960938,152.50384964111922,149.2450851294398,149.2450851294398,3114800,Goldman Sachs
2015-03-13,151.97409057617188,152.29515864826763,149.42166370235753,151.59684324614352,3095100,Goldman Sachs
2015-03-16,154.02890014648438,154.50247409229317,152.42359628983525,152.53596706990083,2127700,Goldman Sachs
2015-03-17,152.96136474609375,153.49914000117312,151.5406675811856,153.28242057830698,1883200,Goldman Sachs
2015-03-18,154.365966796875,154.94386470067278,151.8616853921225,152.2389326366447,2790100,Goldman Sachs
2015-03-19,152.47970581054688,153.9164466007693,151.77336857424186,153.9164466007693,2097100,Goldman Sachs
2015-03-20,155.0161590576172,155.65024864391384,152.42358470792817,152.88110215110703,3473800,Goldman Sachs
2015-03-23,154.07696533203125,155.91503161572336,154.07696533203125,155.1284366873191,1590500,Goldman Sachs
2015-03-24,153.53121948242188,154.51847766525538,153.4349051955581,154.06097255515917,1799100,Goldman Sachs
2015-03-25,150.3767547607422,153.4910340730344,150.3767547607422,153.37064125396623,2542000,Goldman Sachs
2015-03-26,150.28848266601562,150.8744148761518,148.50659522108947,149.71057256239143,2377200,Goldman Sachs
2015-03-27,150.94667053222656,151.2837827626581,149.50992943723318,150.24836750115355,1539600,Goldman Sachs
2015-03-30,153.32252502441406,154.1091202296215,151.85367100252637,151.893806035418,2403800,Goldman Sachs
2015-03-31,150.8744354248047,152.94527820358564,150.8744354248047,152.7767159639497,2146600,Goldman Sachs
2015-04-01,154.29379272460938,154.37406282474976,150.06382544266157,150.85042098454687,4031400,Goldman Sachs
2015-04-02,153.7479248046875,154.69504786548472,153.18607110357965,153.89239622176146,2296300,Goldman Sachs
2015-04-06,154.14927673339844,154.62283834399983,151.66105131745158,152.64830957713627,1997000,Goldman Sachs
2015-04-07,154.422119140625,155.42543349967772,154.30172631653454,154.5264677531632,1778000,Goldman Sachs
