Date,Open,High,Low,Close,Volume,GBPUSD,Open_GBX,High_GBX,Low_GBX,Close_GBX
2015-01-02,155.58163415690402,155.9241787658553,153.51039405407778,154.8726348876953,1877700,1.5579720735549927,9986.163218054136,10008.149787310776,9853.218594849173,9940.655388918862
2015-01-05,153.7971837474583,154.57787671796507,149.35199273029062,150.03709411621094,3413200,1.5284910202026367,10062.027301087377,10113.103359774545,9771.205113818109,9816.027188456761
2015-01-06,150.00524795514949,150.29203489059606,146.52397084739098,147.001953125,3429200,1.5258322954177856,9831.044237668124,9849.839680411591,9602.8882916829,9634.214295139798
2015-01-07,148.850112882862,149.75826933077536,147.9897522234295,149.19265747070312,1896800,1.5137982368469238,9832.889830344928,9892.881738500731,9776.055264252122,9855.517983787266
2015-01-08,150.8417030129704,152.0127485921334,150.7620352523169,151.57460021972656,1962500,1.5107566118240356,9984.51384110438,10062.027688801469,9979.240472778205,10033.025772213605
2015-01-09,151.74193057519346,152.4031342871325,148.93780446999313,149.2484893798828,1980700,1.5087963342666626,10057.151328442636,10100.974586553906,9871.299464840167,9891.891038588967
2015-01-12,149.25645023684942,149.39187574475338,146.66740528760982,147.4321746826172,2084200,1.5189489126205444,9826.2982379932,9835.213976157844,9655.848466593523,9706.19705887685
2015-01-13,148.6350322303849,150.86559574072317,146.07784793038996,147.32058715820312,2745300,1.5170363187789917,9797.724048559096,9944.75833394348,9629.159573975316,9711.07845834411
2015-01-14,144.33324167984563,145.39275974738285,141.87963496676335,143.57644653320312,5204700,1.5170363187789917,9514.1586192224,9583.999931155524,9352.421772008543,9464.272196776585
2015-01-15,143.53664656029517,144.66787074595902,141.40168609229255,142.1903533935547,3146000,1.5234380960464478,9421.889010967658,9496.143697692347,9281.748070975205,9333.516981264953
2015-01-16,140.7881785929922,143.47282542229834,138.66118154585848,141.18649291992188,5124100,1.5181187391281128,9273.858161704124,9450.698533943252,9133.750738462953,9300.095524873648
2015-01-20,141.4574190099797,142.06285268100774,138.7966688807811,139.91195678710938,3606600,1.5090012550354004,9374.241309472018,9414.362791744332,9197.916066512815,9271.825077695321
2015-01-21,139.05155988280814,142.1106115665233,137.67339545829324,141.12278747558594,3737000,1.5147384405136108,9179.90566316249,9381.85813244015,9088.922006337381,9316.643963147502
2015-01-22,142.44521775225456,145.45647415050914,141.2024785600343,145.01832580566406,6228200,1.5144860744476318,9405.515187995878,9604.345434708634,9323.458362701296,9575.414937938971
2015-01-23,144.53239036831235,145.76716772152028,143.72779947251306,143.7835693359375,3123800,1.5013211965560913,9627.013240062013,9709.259288145555,9573.421050885909,9577.135769864924
2015-01-26,142.3735165181529,144.1818675061455,141.84773853221094,143.727783203125,2736500,1.4995876550674438,9494.177685248394,9614.767567532484,9459.116181229923,9584.48695662681
2015-01-27,141.1945176030203,142.30979325600433,140.4456844550483,140.5970458984375,3335600,1.5085458755493164,9359.643607232445,9433.574116808622,9310.004205467529,9320.03780443475
2015-01-28,141.58484569578658,141.7760410006459,137.7928966496823,137.85662841796875,3017300,1.5188103914260864,9322.088293249399,9334.676783948347,9072.422563576332,9076.61872714265
2015-01-29,137.9601929535427,140.44568349339175,137.87257544017305,140.19873046875,2421400,1.5142338275909424,9110.89096279333,9275.032754804628,9105.104702324625,9258.723977379239
2015-01-30,138.7169737179039,139.95971267309474,137.27507756718657,137.34677124023438,3037400,1.5079090595245361,9199.293076841332,9281.70779192917,9103.67085469141,9108.42536376442
2015-02-02,137.80881263497415,139.88801417071443,137.22726489208827,139.80038452148438,2975300,1.5087052583694458,9134.243542301492,9272.0571758264,9095.697395553492,9266.248907528538
2015-02-03,140.21466228625076,143.77559479656725,140.135006681668,143.58441162109375,3766900,1.5028102397918701,9330.16415337106,9567.115726898379,9324.86371007665,9554.394015905782
2015-02-04,142.37351463682194,143.9588104866047,142.22215320448188,142.4213104248047,2980500,1.5142109394073486,9402.488842970975,9507.18336131881,9392.492783082562,9405.645324458386
2015-02-05,142.9471043256526,144.66782581824265,142.77980689348684,144.00662231445312,2434400,1.5180034637451172,9416.783804496927,9530.13805787556,9405.762918434322,9486.580614195014
2015-02-06,145.02630119594107,147.07363125419008,144.30136594201,146.12564086914062,3250900,1.5325905084609985,9462.82130779826,9596.407549325026,9415.520006509434,9534.552123507376
2015-02-09,144.73951553519865,145.7432636338606,144.30932909606278,145.16172790527344,2421900,1.523902416229248,9497.951705683547,9563.8186593659,9469.722441489563,9525.657703494058
2015-02-10,146.06193409207884,147.2170437274082,145.2653050807353,147.02584838867188,2556300,1.5216069221496582,9599.189643914677,9675.103443892496,9546.83518891403,9662.53808710073
2015-02-11,146.635520606804,149.91762852698326,146.3805934664896,149.48744201660156,4079600,1.526205062866211,9607.851800165221,9822.902057829513,9591.148465435374,9794.715379587613
2015-02-12,149.96539335080854,151.3594939530073,149.28825391036068,151.18423461914062,3086700,1.5242739915847778,9838.480101263847,9929.940075644787,9794.056366148887,9918.442186496626
2015-02-13,151.25589882501615,152.418982163488,150.0370577942314,150.56283569335938,2720400,1.5391956567764282,9826.944232794598,9902.50859222813,9747.757351944285,9781.916615376012
2015-02-17,150.38763335078514,151.861401977712,150.01321671920036,151.37545776367188,2123300,1.5356265306472778,9793.242715557646,9889.214528854312,9768.860704429786,9857.56984153341
2015-02-18,150.99303578476105,151.39135023325008,149.6228452651037,150.2999725341797,1850700,1.5353436470031738,9834.478169072003,9860.421185104049,9745.234922302343,9789.337574526011
2015-02-19,149.51128145891934,151.2399765837327,149.184672902036,150.6504669189453,1470400,1.543900728225708,9683.995785839268,9795.965104410678,9662.841021746457,9757.781971647675
2015-02-20,150.04504014644414,152.66594356403164,149.0094202697753,152.5623779296875,2317100,1.5419963598251343,9730.570321414998,9900.538518868118,9663.409340776478,9893.822184313613
2015-02-23,151.94901735660827,151.94901735660827,150.77797177326912,151.60646057128906,1691100,1.5389113426208496,9873.799298784219,9873.799298784219,9797.703584176983,9851.539615862148
2015-02-24,151.38334151520704,153.9723846298988,151.1045166252356,153.12796020507812,2627300,1.5452368259429932,9796.772829486777,9964.322752658703,9778.728676947163,9909.675826657221
2015-02-25,152.59432608123947,153.31128750083366,151.72600316836278,152.72975158691406,2775700,1.545905590057373,9870.869674232581,9917.247759945278,9814.700467104965,9879.629944364573
2015-02-26,152.2422418755165,153.80854193752978,151.83468999213164,153.5927734375,2449300,1.552891492843628,9803.791351624519,9904.65480983982,9777.546640692492,9890.76018159154
2015-02-27,152.7855978948104,153.83245577270506,151.66680908203125,151.66680908203125,2572400,1.5418059825897217,9909.521666155515,9977.41982517915,9836.958138356773,9836.958138356773
2015-03-02,151.8346540406196,153.36898171293768,151.65884451833554,153.2650909423828,1659400,1.5406184196472168,9855.435460481376,9955.027134367077,9844.023840313657,9948.283688408625
2015-03-03,152.3940081097344,154.12811783101623,152.29012955632788,152.84951782226562,1487800,1.5359095335006714,9922.06928766145,10034.973705757577,9915.305962664715,9951.726614645615
2015-03-04,152.11438330770255,152.4899753410553,151.01956703880526,151.5709686279297,1648500,1.5366648435592651,9898.995473558896,9923.437500389078,9827.749211012702,9863.632220338748
2015-03-05,151.9385337528492,152.41001734931731,151.09145822190604,151.89857482910156,1330100,1.52650785446167,9953.34110523991,9984.227523222631,9897.850035969132,9950.723436183649
2015-03-06,149.90077195738502,152.95344150578777,149.10164214347023,149.3653564453125,4103600,1.5247621536254883,9831.09212154564,10031.298399039104,9778.68199239765,9795.9774309823
2015-03-09,149.67700698074322,150.86770252307142,149.09364566826858,150.18045043945312,2233700,1.5057746171951294,9940.199899208885,10019.275182370859,9901.458290351027,9973.634083379666
2015-03-10,148.31047258548674,148.74999634290495,146.0089874267578,146.0089874267578,2768500,1.5104827880859375,9818.746281341191,9847.84451144914,9666.37876170561,9666.37876170561
2015-03-11,146.48048991143168,148.51027417073377,146.2487354486308,147.1837158203125,2098600,1.508204698562622,9712.24198220794,9846.824791904564,9696.875734972287,9758.868670849808
2015-03-12,148.59017216100753,151.83463665645584,148.59017216100753,151.794677734375,3114800,1.4932951927185059,9950.488884284352,10167.757680920728,9950.488884284352,10165.081791901885
2015-03-13,150.9316893932693,151.62694083198693,148.76605377548637,151.30728149414062,3095100,1.4894028902053833,10133.704613159194,10180.384490262277,9988.301671347775,10158.92224254217
2015-03-16,151.8666300883511,153.8245079598628,151.754752398015,153.35301208496094,2127700,1.4755791425704956,10292.001676290683,10424.687061643925,10284.41972510227,10392.733785719971
2015-03-17,152.60983873447222,152.82560722279234,150.87572830613263,152.29019165039062,1883200,1.4825797080993652,10293.533487660823,10308.087072007173,10176.567740803092,10271.973292122237
2015-03-18,151.5709281374983,154.26399131386827,151.19533620448064,153.68862915039062,2790100,1.47520911693573,10274.538463559518,10457.093136348143,10249.078213300367,10418.091061532285
2015-03-19,153.2411519400231,153.2411519400231,151.1074764769048,151.8107147216797,2097100,1.496199607849121,10242.025939327485,10242.025939327485,10099.41960178235,10146.421234524778
2015-03-20,152.2102493699024,154.9672446576216,151.75473954470178,154.3359375,3473800,1.4761673212051392,10311.178630186607,10497.945756657637,10280.32102897452,10455.17911709362
